,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A05,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A06,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A07,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A08,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A09,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A10,VIC,,Unkn,,,44.1255049380606,44.1255049380606,0,NaN,NaN,NaN,0,58,
,A11,VIC,,Unkn,,,38.5559758374105,38.5559758374105,0,NaN,NaN,NaN,0,58,
,A12,VIC,,Unkn,,,41.946596334223,41.946596334223,0,NaN,NaN,NaN,0,58,
,B01,VIC,,Unkn,,,47.287359682563,47.287359682563,0,NaN,NaN,NaN,0,58,
,B02,VIC,,Unkn,,,42.20293503993,42.20293503993,0,NaN,NaN,NaN,0,58,
,B03,VIC,,Unkn,,,43.090732446297,43.090732446297,0,NaN,NaN,NaN,0,58,
,B04,VIC,,Unkn,,,41.204113811394,41.204113811394,0,NaN,NaN,NaN,0,58,
,B05,VIC,,Unkn,,,40.0294622707772,40.0294622707772,0,NaN,NaN,NaN,0,58,
,B06,VIC,,Unkn,,,39.8642485418324,39.8642485418324,0,NaN,NaN,NaN,0,58,
,B07,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B08,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B09,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B10,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B11,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B12,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C01,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C02,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C03,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C04,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C05,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C06,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C07,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C08,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C09,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C10,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C11,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C12,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D01,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D02,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D03,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
